5/5/2005,5.5.05
10/23/2008,23.10.08
2/23/2007,23.2.07
2/23/2007,23.2.07
3/19/2009,19.3.09
3/23/2006,23.3.06
6/20/2002,20.6.02
12/10/2008,10.12.08
10/22/2005,22.10.05
5/15/2001,15.5.01
1899-3-12,3.1899.02
1/1/2005,1.1.05
5/24/2003,24.5.03
12/28/2000,28.12.00
9/13/2008,13.9.08
10/3/2010,3.10.00
5/12/2008,12.5.08
2/5/2002,5.2.02
1/17/2005,17.1.05
12/21/2009,21.12.09
2/5/2010,5.2.00
1/5/2002,5.1.02
10/23/2003,23.10.03
8/21/2008,21.8.08
1/4/2001,4.1.01
,
2/2/2005,2.2.05
,
empty,
5/10/2005,10.5.05
,
4/20/2010,20.4.00
1897-2-2,2.1897.02
2/10/2002,10.2.02
11/5/2003,5.11.03
6/21/2002,21.6.02
2/25/2002,25.2.02
10/20/2006,20.10.06
,
2/24/2002,24.2.02
4/1/2008,1.4.08
3/19/2008,19.3.08
12/11/2004,11.12.04
11/11/2006,11.11.06
11/1/2007,1.11.07
2/15/2007,15.2.07
6/2/2008,2.6.08
12/30/2006,30.12.06
12/10/2007,10.12.07
3/22/2006,22.3.06
6/28/2003,28.6.03
12/25/2005,25.12.05
7/8/2008,8.7.08
2/23/2002,23.2.02
7/30/2006,30.7.06
6/12/2007,12.6.07
9/12/2005,12.9.05
,
10/5/2005,5.10.05
8/14/2007,14.8.07
,
1896-12-13,12.1896.03
,
empty,
11/18/2007,18.11.07
1/6/2007,6.1.07
empty,
,
,
2/5/2010,5.2.00
4/17/2012,17.4.02
,
,
2/4/2002,4.2.02
6/6/2006,6.6.06
10/29/2009,29.10.09
2/27/2011,27.2.01
6/5/2008,5.6.08
3/3/2006,3.3.06
9/21/2009,21.9.09
9/9/2007,9.9.07
1/1/2000,1.1.00
12/13/2006,13.12.06
4/15/2008,15.4.08
10/29/2006,29.10.06
1/21/2009,21.1.09
1/4/2010,4.1.00
12/28/2011,28.12.11
7/15/2011,15.7.01
11/8/2009,8.11.09
12/6/2009,6.12.09
7/17/2005,17.7.05
5/10/2010,10.5.10
11/5/2004,5.11.04
6/25/2012,25.6.02
1/28/2005,28.1.05
3/1/2006,1.3.06
9/9/2001,9.9.01
