5/19/1980,19 5 1980
4/6/1984,6 4 1984
5/5/1985,5 5 1985
11/25/1980,25 11 1980
10/20/1987,20 10 1987
11/25/1977,25 11 1977
4/11/1985,11 4 1985
9/25/1984,25 9 1984
11/29/1984,29 11 1984
3/17/1982,17 3 1982
12/22/1982,22 12 1982
6/9/1982,9 6 1982
11/24/1984,24 11 1984
3/14/1977,14 3 1977
10/19/1981,19 10 1981
6/20/1987,20 6 1987
3/16/1986,16 3 1986
12/2/1977,2 12 1977
3/20/1980,20 3 1980
1/6/1987,6 1 1987
9/29/1981,29 9 1981
12/26/1981,26 12 1981
5/23/1986,23 5 1986
2/1/1973,1 2 1973
10/20/1981,20 10 1981
4/2/1980,2 4 1980
2/13/1979,13 2 1979
3/30/1980,30 3 1980
4/30/1979,30 4 1979
6/21/1987,21 6 1987
12/29/1980,29 12 1980
11/3/1976,3 11 1976
1/17/1973,17 1 1973
3/1/1989,1 3 1989
3/6/1986,6 3 1986
7/13/1985,13 7 1985
6/1/1988,1 6 1988
1/17/1988,17 1 1988
2/22/1988,22 2 1988
5/11/1989,11 5 1989
9/28/1986,28 9 1986
11/21/1981,21 11 1981
1/16/1988,16 1 1988
5/15/1979,15 5 1979
5/29/1983,29 5 1983
7/21/1979,21 7 1979
6/16/1986,16 6 1986
11/2/1980,2 11 1980
2/16/1986,16 2 1986
11/19/1984,19 11 1984
7/23/1984,23 7 1984
10/11/1982,11 10 1982
2/14/1987,14 2 1987
1/8/1981,8 1 1981
1/24/1987,24 1 1987
5/19/1979,19 5 1979
11/28/1985,28 11 1985
4/17/1978,17 4 1978
10/17/1976,17 10 1976
3/21/1989,21 3 1989
5/18/1980,18 5 1980
6/8/1984,8 6 1984
1/1/1982,1 1 1982
5/14/1982,14 5 1982
12/14/1974,14 12 1974
10/11/1985,11 10 1985
5/23/1985,23 5 1985
4/7/1987,7 4 1987
3/25/1983,25 3 1983
12/26/1986,26 12 1986
2/14/1983,14 2 1983
9/11/1979,11 9 1979
11/10/1979,10 11 1979
8/17/1977,17 8 1977
3/7/1982,7 3 1982
4/7/1983,7 4 1983
7/11/1986,11 7 1986
8/12/1981,12 8 1981
7/27/1979,27 7 1979
12/5/1985,5 12 1985
8/17/1977,17 8 1977
5/15/1981,15 5 1981
9/10/1983,10 9 1983
6/13/1980,13 6 1980
3/28/1985,28 3 1985
8/11/1980,11 8 1980
7/15/1981,15 7 1981
5/11/1986,11 5 1986
9/28/1984,28 9 1984
3/14/1979,14 3 1979
7/26/1985,26 7 1985
12/30/1981,30 12 1981
2/16/1978,16 2 1978
12/20/1980,20 12 1980
7/31/1981,31 7 1981
4/12/1981,12 4 1981
2/17/1985,17 2 1985
4/19/1978,19 4 1978
2/14/1988,14 2 1988
3/9/1975,9 3 1975
12/10/1987,10 12 1987
6/24/1987,24 6 1987
2/5/1984,5 2 1984
7/14/1979,14 7 1979
3/23/1978,23 3 1978
6/8/1984,8 6 1984
2/12/1988,12 2 1988
6/2/1988,2 6 1988
7/5/1983,5 7 1983
11/7/1973,7 11 1973
6/12/1979,12 6 1979
1/2/1981,2 1 1981
7/30/1983,30 7 1983
2/22/1987,22 2 1987
6/20/1989,20 6 1989
8/29/1982,29 8 1982
9/6/1980,6 9 1980
4/16/1985,16 4 1985
8/1/1976,1 8 1976
4/18/1980,18 4 1980
9/2/1980,2 9 1980
1/8/1982,8 1 1982
11/22/1982,22 11 1982
10/28/1984,28 10 1984
10/10/1988,10 10 1988
7/15/1981,15 7 1981
11/15/1982,15 11 1982
11/4/1984,4 11 1984
5/2/1986,2 5 1986
4/12/1990,12 4 1990
4/8/1984,8 4 1984
12/17/1983,17 12 1983
3/25/1987,25 3 1987
6/1/1986,1 6 1986
