"1587","1587"
"1790s","1790"
"1926","1926"
"21","21"
"16","16"
"1968 - 1970","avg(1968,1970)"
"1970","1970"
"1973","1973"
"1978","1978"
"1978","1978"
"1978","1978"
"1980","1980"
"1983","1983"
"1983","1983"
"1988","1988"
"1977","1977"
"1845","1845"
"470","470"
"540 - 530","avg(540,530)"
"530","530"
"470 - 450","avg(470,450)"
"1755","1755"
"1552","1552"
"1640","1640"
"1645 - 1650","avg(1645,1650)"
"1650","1650"
"1570","1570"
"1894","1894"
"1608","1608"
"1510 - 1515","avg(1510,1515)"
"1927","1927"
"1929","1929"
"1930","1930"
"1930","1930"
"1930","1930"
"1930","1930"
"1930s","1930"
"1930","1930"
"1930 - 1940","avg(1930,1940)"
"1930 - 1940","avg(1930,1940)"
"1930 - 1940","avg(1930,1940)"
"1930","1930"
"1931","1931"
"1931 or 1933","avg(1931,1933)"
"1931","1931"
"1931","1931"
"1932","1932"
"1932","1932"
"1932","1932"
"1932","1932"
"1932","1932"
"1933","1933"
"1933","1933"
"1933","1933"
"1933","1933"
"1933","1933"
"1934","1934"
"1934","1934"
"1934","1934"
"1934","1934"
"1935","1935"
"1935","1935"
"1936","1936"
"1937","1937"
"1938","1938"
"1938","1938"
"1938","1938"
"1938 - 1939","avg(1938,1939)"
"1939","1939"
"1939","1939"
"1939","1939"
"1939","1939"
"1939","1939"
"1940s","1940"
"1940","1940"
"1940s","1940"
"1942","1942"
"1942","1942"
"1942","1942"
"1942","1942"
"1942 - 1945","avg(1942,1945)"
"1942 - 1946","avg(1942,1946)"
"1944","1944"
"1957","1957"
"1967","1967"
"1969","1969"
"1970","1970"
"1971","1971"
"1972","1972"
"510","510"
"510","510"
"1556","1556"
"1522 - 1523","avg(1522,1523)"
"1522 - 1525","avg(1522,1525)"
"1523","1523"
"1525","1525"
"1524","1524"
"1805 - 1808","avg(1805,1808)"
"1652 - 1700 from a model of 1652","avg(1652,1700)"
"1400","1400"
"1400","1400"
"1400","1400"
"1400","1400"
"1400","1400"
"1400","1400"
"1400","1400"
"1520","1520"
"520 - 510","avg(520,510)"
"1400s or early 1500s","avg(1400,1500)"
"1400s or early 1500s","avg(1400,1500)"
"1400s or early 1500s","avg(1400,1500)"
"1400s or early 1500s","avg(1400,1500)"
"1400s to early 1500s","avg(1400,1500)"
"25 - 1","avg(25,1)"
"500","500"
"575","575"
"1754 - 1755","avg(1754,1755)"
"1510 - 1520","avg(1510,1520)"
"1600","1600"
"1790","1790"
"1849","1849"
"1906","1906"
"1898 - 1900","avg(1898,1900)"
"1898","1898"
"1898 - 1900","avg(1898,1900)"
"1898","1898"
"1898","1898"
"1898","1898"
"1899 - 1900","avg(1899,1900)"
"1899 - 1901","avg(1899,1901)"
"1900","1900"
"1900","1900"
"1900","1900"
"1901","1901"
"1901","1901"
"1901 - 1902","avg(1901,1902)"
"1901","1901"
"1902","1902"
"1902","1902"
"1902 - 1903","avg(1902,1903)"
"1902","1902"
"1903 - 1904","avg(1903,1904)"
"1903","1903"
"1903","1903"
"1904","1904"
"1904","1904"
"1904","1904"
"1904","1904"
"1904 - 1905","avg(1904,1905)"
"1905","1905"
"1908 - 1912","avg(1908,1912)"
"1908 or 1912","avg(1908,1912)"
"1908","1908"
"1910 - 1911","avg(1910,1911)"
"1910 - 1915","avg(1910,1915)"
"1910","1910"
"1910 - 1915","avg(1910,1915)"
"1910 - 1911","avg(1910,1911)"
"1910","1910"
"1911","1911"
"1911","1911"
"1912","1912"
"1912","1912"
"1912","1912"
"1912","1912"
"1912","1912"
"1912","1912"
"1913","1913"
"1915 - 1919","avg(1915,1919)"
"1915","1915"
"1919","1919"
"1920","1920"
"1921","1921"
"1921","1921"
"1922 - 1923","avg(1922,1923)"
"1922","1922"
"1922","1922"
"1923","1923"
"1923","1923"
"1923","1923"
"1924 - 1925","avg(1924,1925)"
"1924","1924"
"1924","1924"
"1925","1925"
"1925","1925"
"1925","1925"
"1925","1925"
"1925","1925"
"1925","1925"
"1925","1925"
"1926","1926"
"1926 - 1927","avg(1926,1927)"
"1926","1926"
"1853","1853"
"1854","1854"
"1864","1864"
"1779 - 1782","avg(1779,1782)"
"1747","1747"
"1615 - 1620","avg(1615,1620)"
"1750 - 1755","avg(1750,1755)"
"1855","1855"
"1540 - 1545","avg(1540,1545)"
"1672","1672"
"1650","1650"
"1530","1530"
"1728 - 1730","avg(1728,1730)"
"1730","1730"
"17","17"
"1629","1629"
"1964","1964"
"1670","1670"
"1505","1505"
"1512 - 1513","avg(1512,1513)"
"1855 - 1856","avg(1855,1856)"
"1861","1861"
"1861 - 1862","avg(1861,1862)"
"1861","1861"
"1861","1861"
"1525","1525"
"1754","1754"
"530 - 520","avg(530,520)"
