"29-08-11,","29/08/11"
"29-02-12,","29/02/12"
"11-08-07,","11/08/07"
"16-06-10,","16/06/10"
"29-09-06,","29/09/06"
"30-04-10,","30/04/10"
"21-06-03,","21/06/03"
"14-06-02,","14/06/02"
"27-11-12,","27/11/12"
"9-11-08,","9/11/08"
"23-10-02,","23/10/02"
"8-07-02,","8/07/02"
"9-07-02,","9/07/02"
"11-05-01,","11/05/01"
"05 7,2012,","7/05/12"
"17-11-06,","17/11/06"
"12-06-05,","12/06/05"
"2-03-10,","2/03/10"
"12-06-04,","12/06/04"
"15-01-05,","15/01/05"
"24-11-01,","24/11/01"
"6-04-10,","6/04/10"
"8-05-03,","8/05/03"
"5-07-05,","5/07/05"
"16-08-02,","16/08/02"
"26-04-07,","26/04/07"
"13-11-03,","13/11/03"
"15-03-10,","15/03/10"
"14-10-08,","14/10/08"
"15-10-11,","15/10/11"
"20-07-04,","20/07/04"
"23-07-06,","23/07/06"
"22-09-01,","22/09/01"
"26-03-01,","26/03/01"
"17-11-04,","17/11/04"
"4-03-06,","4/03/06"
"20-08-03,","20/08/03"
"30-07-01,","30/07/01"
"21-06-03,","21/06/03"
"16-05-06,","16/05/06"
"5-05-06,","5/05/06"
"1-04-02,","1/04/02"
"7-02-09,","7/02/09"
"16-11-05,","16/11/05"
"12-03-09,","12/03/09"
"17-06-04,","17/06/04"
"12-11-11,","12/11/11"
"19-03-10,","19/03/10"
"02 29, 2007,","29/02/07"
"7-02-09,","7/02/09"
"17-02-09,","17/02/09"
"23-02-09,","23/02/09"
"12-02-09,","12/02/09"
"31-10-08,","31/10/08"
"11-10-11,","11/10/11"
"4-10-08,","4/10/08"
"7-10-11,","7/10/11"
"6-08-02,","6/08/02"
"3-08-02,","3/08/02"
"11-08-02,","11/08/02"
"21-08-02,","21/08/02"
"1-08-02,","1/08/02"
