"5/5/05","5.5.05"
"10/23/08","23.10.08"
"2/23/07","23.2.07"
"2/23/07","23.2.07"
"3/19/09","19.3.09"
"3/23/06","23.3.06"
"6/20/02","20.6.02"
"12/10/08","10.12.08"
"10/22/05","22.10.05"
"5/15/01","15.5.01"
"1899-3-12",""
"1/1/05","1.1.05"
"5/24/03","24.5.03"
"12/28/00","28.12.00"
"9/13/08","13.9.08"
"10/3/10","3.10.10"
"5/12/08","12.5.08"
"2/5/02","5.2.02"
"1/17/05","17.1.05"
"12/21/09","21.12.09"
"2/5/10","5.2.10"
"1/5/02","5.1.02"
"10/23/03","23.10.03"
"8/21/08","21.8.08"
"1/4/01","4.1.01"
"",""
"2/2/05","2.2.05"
"",""
"",""
"5/10/05","10.5.05"
"",""
"4/20/10","20.4.10"
"1897-2-2",""
"2/10/02","10.2.02"
"11/5/03","5.11.03"
"6/21/02","21.6.02"
"2/25/02","25.2.02"
"10/20/06","20.10.06"
"",""
"2/24/02","24.2.02"
"4/1/08","1.4.08"
"3/19/08","19.3.08"
"12/11/04","11.12.04"
"11/11/06","11.11.06"
"11/1/07","1.11.07"
"2/15/07","15.2.07"
"6/2/08","2.6.08"
"12/30/06","30.12.06"
"12/10/07","10.12.07"
"3/22/06","22.3.06"
"6/28/03","28.6.03"
"12/25/05","25.12.05"
"7/8/08","8.7.08"
"2/23/02","23.2.02"
"7/30/06","30.7.06"
"6/12/07","12.6.07"
"9/12/05","12.9.05"
"",""
"10/5/05","5.10.05"
"8/14/07","14.8.07"
"",""
"1896-12-13",""
"",""
"",""
"11/18/07","18.11.07"
"1/6/07","6.1.07"
"",""
"",""
"",""
"2/5/10","5.2.10"
"4/17/12","17.4.12"
"",""
"",""
"2/4/02","4.2.02"
"6/6/06","6.6.06"
"10/29/09","29.10.09"
"2/27/11","27.2.11"
"6/5/08","5.6.08"
"3/3/06","3.3.06"
"9/21/09","21.9.09"
"9/9/07","9.9.07"
"1/1/00","1.1.00"
"12/13/06","13.12.06"
"4/15/08","15.4.08"
"10/29/06","29.10.06"
"1/21/09","21.1.09"
"1/4/10","4.1.10"
"12/28/11","28.12.11"
"7/15/11","15.7.11"
"11/8/09","8.11.09"
"12/6/09","6.12.09"
"7/17/05","17.7.05"
"5/10/10","10.5.10"
"11/5/04","5.11.04"
"6/25/12","25.6.12"
"1/28/05","28.1.05"
"3/1/06","1.3.06"
"9/9/01","9.9.01"
"11/4/08","4.11.08"
"5/22/07","22.5.07"
"5/16/10","16.5.10"
"5/1/04","1.5.04"
"8/22/07","22.8.07"
"7/14/02","14.7.02"
"4/3/03","3.4.03"
"1/17/07","17.1.07"
"3/24/04","24.3.04"
"1/26/09","26.1.09"
"2/8/05","8.2.05"
"12/18/02","18.12.02"
"4/11/00","11.4.00"
"9/25/08","25.9.08"
"11/16/04","16.11.04"
"",""
"",""
"",""
"",""
"",""
"8/3/01","3.8.01"
"3/17/12","17.3.12"
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"",""
"1899-12-14",""
"12/12/06","12.12.06"
"11/22/01","22.11.01"
"4/30/02","30.4.02"
"1/18/05","18.1.05"
"6/26/06","26.6.06"
"1/5/04","5.1.04"
"11/29/04","29.11.04"
"9/1/00","1.9.00"
"6/22/08","22.6.08"
"5/20/00","20.5.00"
"5/17/07","17.5.07"
"11/2/02","2.11.02"
"11/21/07","21.11.07"
"3/22/05","22.3.05"
"5/24/01","24.5.01"
"5/11/05","11.5.05"
"6/17/05","17.6.05"
"11/3/04","3.11.04"
